person,years,factoid_lons,factoid_lats
"Rauch, Christian Heinrich.","['1748', '1747', '1747', '1747', '1747', '1747', '1748', '1748', '1747', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1740', '1741', '1754', '1754', '1750', '1747', '1750', '1751', '1749', '1752', '1748', '1749', '1754', '1754', '1748', '1748', '1749', '1749', '1764', '1754', '1754', '1754', '1755', '1754', '1754', '1749', '1749', '1749', '1749', '1754', '1754', '1748', '1747', '1748', '1748']","['-78.73031', '-76.55885', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-76.55885', '-81.43428', '-76.55885', '-75.4999', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-74.56316', '-78.73031', '-81.43428', '-78.73031', '-74.56316', '-81.43428', '-78.73031', '-78.73031', '-73.59901', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-76.55885', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-75.20434', '-78.73031']","['40.86173', '40.78897', '40.86173', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.78897', '40.3584', '40.78897', '43.00035', '40.86173', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '39.71334', '40.86173', '40.3584', '40.86173', '39.71334', '40.3584', '40.86173', '40.86173', '41.92815', '40.3584', '40.3584', '40.3584', '40.3584', '40.86173', '40.3584', '40.3584', '40.3584', '40.78897', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.68899', '40.86173']"
"Rauh, Johannes (""Hannes""), oldest son of Johannes Rauh.","['1745', '1742']","['-73.59901', '-75.4999']","['41.92815', '43.00035']"
"Rauh, Johannes, Junior.",['1754'],['-73.59901'],['41.92815']
"Rauh, Johannes.","['1743', '1747', '1750', '1745', '1745', '1745']","['-74.0282', '-81.43428', '-78.73031', '-73.59901', '-73.59901', '-78.73031']","['40.69677', '40.3584', '40.86173', '41.92815', '41.92815', '40.86173']"
"Rauh, Maria.",['1745'],['-78.73031'],['40.86173']
"Rauh, Mrs., w. of Hannes Rauh.",['1742'],['-78.73031'],['40.86173']
"Rauh, Nicolaus (""Nicol, Nicklaus""), s. Johannes Rauh.","['1742', '1742', '1742']","['-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173']"
"Rauh, Wilhelm, s. Johannes Rauh; Dutchess Co., N.Y.","['1748', '1748', '1748', '1749']","['-78.73031', '-81.43428', '-78.73031', '-78.73031']","['40.86173', '40.3584', '40.86173', '40.86173']"
"Rauschenberger, Jacob, h. Margaret, m. n. Huber.",['1814'],['-81.43428'],['40.3584']
"Rauschenberger, Jacob.","['1821', '1821', '1818', '1817', '1819', '1820', '1817', '1815', '1815']","['-81.93646', '-81.43428', '-74.32432', '-81.5654', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432']","['40.80517', '40.3584', '41.40204', '39.73618', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204']"
"Rauschenberger, Margaret, m. n. Huber, w. Jacob Rauschenberger.",['1816'],['-74.32432'],['41.40204']
"Reichard (Reichert), David; Gnadenthal.",['1754'],['-81.43428'],['40.3584']
"Reichel, Carl Gotthold, bishop.","['1816', '1818']","['-74.32432', '-91.96903']","['41.40204', '34.54426']"
"Reichel, Carl Gotthold, pastor and principal of Nazareth Hall; Nazareth.",['1798'],['-75.88131'],['41.24591']
"Reichel, Carl Gotthold.",['1802'],['-75.30962'],['40.74038']
"Reichel, Carl Gotthold; Nazareth.",['1799'],['-73.26373'],['41.14121']
"Reichel, Carl.",['1807'],['-75.30962'],['40.74038']
"Reichel, Johann Friedrich, Moravian bishop.","['1778', '1779', '1780']","['-86.98636', '-78.73031', '-78.73031']","['45.27262', '40.86173', '40.86173']"
"Reinke, Abraham.","['1753', '1753', '1753', '1753', '1750']","['-73.91264', '-73.42123', '-73.74286', '-78.73031', '-81.43428']","['41.92676', '41.98343', '41.76515', '40.86173', '40.3584']"
"Reutz, Matthaeus.","['1749', '1749', '1749', '1749', '1749', '1749', '1749', '1756']","['-78.73031', '-78.73031', '-75.16362', '-75.16362', '-78.73031', '-78.73031', '-78.73031', '-72.09952']","['40.86173', '40.86173', '39.95238', '39.95238', '40.86173', '40.86173', '40.86173', '41.35565']"
"Reuz, Matthaeus.","['1748', '1748']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Reynier, Johann Franz (""Regnier, Renier"").","['1743', '1743']","['-78.73031', '-73.59901']","['40.86173', '41.92815']"
"Rhode (al. Road, Roth), John; Carbon Co., Pa.","['1747', '1747']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Rhode (al. Rood, Roth), John.",['1752'],['-81.43428'],['40.3584']
"Rhode, -----, w. John Rhode; Carbon Co., Pa.",['1748'],['-81.43428'],['40.3584']
"Rhodes, Joseph, millwright; Gnadenhutten.",['1800'],['-74.32432'],['41.40204']
"Rice, Joseph, s. Owen Rice.",['1808'],['-74.32432'],['41.40204']
"Rice, Joseph, s. of Owen Rice; Bethlehem, Pennsylvania.",['1808'],['-74.32432'],['41.40204']
"Rice, Owen, Jr.; Bethlehem.","['1818', '1818']","['-86.98636', '-91.96903']","['45.27262', '34.54426']"
"Rice, Owen, f. Joseph Rice.",['1808'],['-74.32432'],['41.40204']
"Rice, Owen.","['1754', '1808', '1753']","['-81.43428', '-74.32432', '-81.43428']","['40.3584', '41.40204', '40.3584']"
"Rice, Owen; Nazareth.","['1749', '1749', '1749']","['-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584']"
"Richard, Jacob.",['1745'],['-73.59901'],['41.92815']
"Ricksecker (""Rixecker""), Abraham.",['1811'],['-74.32432'],['41.40204']
"Ricksecker (""Rixecker""), Jacob.","['1799', '1800', '1803']","['-74.32432', '-81.43428', '-74.32432']","['41.40204', '40.3584', '41.40204']"
"Ricksecker, Abraham.","['1815', '1818', '1819']","['-75.16362', '-76.3069', '-76.3069']","['39.95238', '40.15732', '40.15732']"
"Ricksecker, Peter, Lititz.",['1817'],['-74.32432'],['41.40204']
"Riedesel, general.",['1783'],['-78.73031'],['40.86173']
"Riegner (al. Richner), Daniel; Bethlehem.","['1752', '1752', '1752']","['-81.43428', '-78.73031', '-78.73031']","['40.3584', '40.86173', '40.86173']"
"Riegner, Daniel.","['1754', '1753', '1753', '1753', '1753']","['-78.73031', '-77.66638', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.12453', '40.86173', '40.86173', '40.86173']"
"Risler, Jeremias.","['1806', '1807']","['-121.65255', '-121.65255']","['49.23299', '49.23299']"
"Ritter, Franz, Oley.",['1752'],['-81.43428'],['40.3584']
Robins.,"['1790', '1787', '1787']","['-76.40302', '-82.54906', '-76.40302']","['39.94677', '41.3981', '39.94677']"
"Rock, Jacob; Lititz, Pa.",['1803'],['-78.93286'],['42.90012']
"Roesler, Gottfried.","['1755', '1755', '1755', '1755', '1754', '1754', '1754', '1754', '1754', '1752', '1753', '1753', '1755', '1755', '1755', '1755', '1753', '1753', '1753', '1754', '1753', '1753', '1755', '1755', '1754', '1753', '1753']","['-81.43428', '-76.55885', '-76.55885', '-76.55885', '-78.73031', '-105.63666', '-81.43428', '-78.73031', '-105.63666', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-74.56316', '-76.55885', '-75.78382', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-81.43428']","['40.3584', '40.78897', '40.78897', '40.78897', '40.86173', '41.47747', '40.3584', '40.86173', '41.47747', '40.3584', '40.86173', '40.86173', '40.86173', '39.71334', '40.78897', '40.1651', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.3584', '40.3584']"
"Rogers, Jacob.","['1755', '1752']","['-73.42123', '-81.43428']","['41.98343', '40.3584']"
"Romig ( ""Romich""), Abraham.",['1802'],['-74.32432'],['41.40204']
"Romig (""Romich""), John.",['1807'],['-74.32432'],['41.40204']
"Romig, Heinrich, h. Hannah Volck; Allemaengel.",['1755'],['-81.43428'],['40.3584']
"Ronner, Johann Reinhard; Bethlehem, Pennsylvania.","['1742', '1742']","['-73.59901', '-73.59901']","['41.92815', '41.92815']"
"Roseen, Sven.",['1748'],['-81.43428'],['40.3584']
"Rosset (Racet), Pierre, Frenchman; Fairfield.",['1802'],['-73.26373'],['41.14121']
"Roth, Johann Ludwig, 2nd son of Johannes and Maria Agnes.",['1773'],['-81.43428'],['40.3584']
"Roth, Johannes, Moravian missionary.","['1773', '1773', '1774', '1774', '1773']","['-81.43428', '-81.43428', '-76.40302', '-78.73031', '-81.43428']","['40.3584', '40.3584', '39.94677', '40.86173', '40.3584']"
"Roth, Johannes.","['1764', '1764', '1764', '1769', '1770', '1770', '1763', '1770', '1770', '1770', '1770', '1765', '1765', '1764', '1765', '1771', '1772', '1762', '1771', '1769', '1769', '1769']","['-78.73031', '-78.73031', '-75.16362', '-80.13295', '-78.73031', '-78.73031', '-75.16362', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-76.26188', '-76.26188', '-78.73031', '-76.26188', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-75.99689', '-78.73031', '-78.73031']","['40.86173', '40.86173', '39.95238', '43.05011', '40.86173', '40.86173', '39.95238', '40.86173', '40.86173', '40.86173', '40.86173', '41.66813', '41.66813', '40.86173', '41.66813', '40.86173', '40.86173', '40.86173', '40.86173', '39.95483', '40.86173', '40.86173']"
"Roth, Maria Agnes.",['1771'],['-78.73031'],['40.86173']
"Rubel, Johannes.","['1751', '1751', '1751', '1753', '1751', '1751', '1752', '1752', '1752', '1752', '1752']","['-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-75.20434', '-78.73031', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.68899', '40.86173', '40.86173', '40.86173', '40.86173']"
"Rubel, Johannes; Christiansbrunn.","['1749', '1749', '1750']","['-81.43428', '-78.73031', '-78.73031']","['40.3584', '40.86173', '40.86173']"
"Ruch, Michael.","['1749', '1749', '1755']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
"Ruch, Michael; Christiansbrunn.","['1747', '1748', '1748']","['-81.43428', '-81.43428', '-78.73031']","['40.3584', '40.3584', '40.86173']"
"Rudy, Henry; Lititz.",['1804'],['-74.32432'],['41.40204']
"Rundt, Carl Gottfried.","['1752', '1752', '1752', '1752', '1754', '1754', '1754', '1754', '1754', '1755', '1755', '1755', '1755', '1754', '1754', '1754']","['-78.73031', '-76.00492', '-81.43428', '-81.43428', '-73.91264', '-73.91264', '-78.73031', '-105.63666', '-105.63666', '-76.72774', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-81.43428']","['40.86173', '41.20536', '40.3584', '40.3584', '41.92676', '41.92676', '40.86173', '41.47747', '41.47747', '39.9626', '40.86173', '40.3584', '40.86173', '40.86173', '40.3584', '40.3584']"
"Rusmeyer, Albrecht Ludolph; Lancaster, Pa.",['1753'],['-81.43428'],['40.3584']
Russlen; Bethlehem.,['1753'],['-81.43428'],['40.3584']
"Samples, U.S. quarter master; Fort Laurens.",['1779'],['-81.45762'],['40.63978']
"Sartorius, Conrad; Neuwied, Germany.",['1817'],['-74.32432'],['41.40204']
"Sauter, Johann Michael.",['1755'],['-80.00032'],['35.50069']
"Saxon, Samuel.",['1755'],['-81.43428'],['40.3584']
"Schaaf, Christian Frederick.",['1819'],['-74.32432'],['41.40204']
"Schabel, French trader.","['1801', '1800']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Schaefer, Michael.",['1750'],['-81.43428'],['40.3584']
"Schaefer, Nicolaus; Gnadenthal.",['1750'],['-81.43428'],['40.3584']
Schaffal.,['1750'],['-73.32039'],['42.28759']
"Schaub, John Frederick; Bethlehem.","['1747', '1747', '1747']","['-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584']"
"Schaukirch, Moravian; New York.",['1783'],['-83.04575'],['42.33143']
"Schaus, Frederick; Bethlehem.","['1747', '1748', '1748']","['-78.73031', '-81.43428', '-78.73031']","['40.86173', '40.3584', '40.86173']"
"Schaus, Johann Adam; Bethlehem.","['1747', '1747']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Schebosch, John Joseph, also Shebosh, Shabosch, Schebos, originally John Bull, Moravian Lay missionary.","['1775', '1775', '1775']","['-76.3069', '-81.43428', '-81.43428']","['40.15732', '40.3584', '40.3584']"
"Schebosch, John Joseph, also Shebosh, Shabosch, Schebos, originally John Bull, Moravian lay missionary.","['1777', '1782', '1781', '1778', '1781', '1780', '1776', '1774', '1774', '1775', '1775', '1775', '1780', '1780', '1775', '1775', '1778', '1780', '1775', '1780', '1776', '1776', '1780']","['-81.43428', '-78.73031', '-76.40302', '-78.73031', '-81.43428', '-76.40302', '-81.43428', '-76.40302', '-76.40302', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-76.40302', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-76.3069', '-78.73031', '-76.40302', '-76.40302', '-81.43428']","['40.3584', '40.86173', '39.94677', '40.86173', '40.3584', '39.94677', '40.3584', '39.94677', '39.94677', '40.86173', '40.86173', '40.86173', '40.86173', '39.94677', '40.3584', '40.86173', '40.86173', '40.3584', '40.15732', '40.86173', '39.94677', '39.94677', '40.3584']"
Schebosch.,"['1748', '1748', '1749', '1787', '1786', '1749', '1749', '1765', '1765', '1765', '1766', '1768', '1748', '1747', '1769', '1769', '1747', '1747', '1747', '1767', '1767', '1772', '1783', '1783', '1784', '1785', '1786', '1771', '1763', '1753', '1753', '1754', '1754', '1754', '1754', '1763', '1763', '1755', '1755', '1755', '1760', '1755', '1760', '1760', '1764', '1764', '1758', '1760', '1770', '1770', '1769', '1753', '1806', '1752', '1752', '1752', '1771', '1751', '1751', '1750', '1750', '1750', '1749', '1750', '1749', '1749', '1749', '1750', '1750', '1750', '1750', '1750', '1751', '1751', '1765', '1753', '1752', '1752', '1752', '1752', '1752', '1752', '1752', '1752', '1749', '1749', '1760', '1760', '1761', '1761', '1761', '1761', '1761', '1762', '1762', '1762']","['-78.73031', '-81.43428', '-78.73031', '-82.18404', '-80.99973', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-75.99689', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-76.40302', '-83.04575', '-78.73031', '-83.04575', '-83.04575', '-83.04575', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-105.63666', '-75.99689', '-78.73031', '-75.99689', '-78.73031', '-75.16362', '-78.73031', '-75.99689', '-75.99689', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-77.66638', '-78.73031', '-77.66638', '-77.66638', '-78.73031', '-78.73031', '-77.66638', '-77.66638', '-78.73031', '-75.20434', '-76.26188', '-81.43428', '-81.43428', '-75.30962', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-75.20434', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-75.30962', '-75.61602', '-78.73031', '-75.30962', '-75.61602', '-78.73031', '-78.73031']","['40.86173', '40.3584', '40.86173', '41.47282', '42.2501', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '39.95483', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '39.94677', '42.33143', '40.86173', '42.33143', '42.33143', '42.33143', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.3584', '40.3584', '41.47747', '39.95483', '40.86173', '39.95483', '40.86173', '39.95238', '40.86173', '39.95483', '39.95483', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.12453', '40.86173', '40.12453', '40.12453', '40.86173', '40.86173', '40.12453', '40.12453', '40.86173', '40.68899', '41.66813', '40.3584', '40.3584', '40.74038', '40.3584', '40.86173', '40.3584', '40.3584', '40.68899', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.74038', '40.73454', '40.86173', '40.74038', '40.73454', '40.86173', '40.86173']"
